Petrobras PN;;;;;;;;;;Economatica
;;;;;;;;;;
;;;;;;;;;;
Data;"Fechamento
ajust p/ prov
USD>C100
AGG";"Fechamento
ajust p/ prov
CZRE>C100
IPCA+7%";"Fechamento
ajust p/ prov
CZRE>C100
CDI Acumulado";"Fechamento
ajust p/ prov
CZRE>C100
IBXX";"Fechamento
ajust p/ prov
CZRE>C100
IDA DI";"Fechamento
ajust p/ prov
CZRE>C100
IMA-B 5";"Fechamento
ajust p/ prov
CZRE>C100
IMA-B";"Fechamento
ajust p/ prov
CZRE>C100
IFIX";"Fechamento
ajust p/ prov
CZRE>C100
IRF-M";"Fechamento
ajust p/ prov
USD>C100
S&P 500"
Ago-2011;142,5242243;219,6974152;226,6637858;260,8287293;135,8851968;255,8241931;273,7757745;109,291;249,1861717;103,8396006
Set-2011;143,6226092;222,1105963;228,7939479;248,9640884;137,2900414;260,0828101;275,5737867;111,117;252,9264423;96,38786185
Out-2011;143,8048086;224,2666997;230,8090304;270,9668508;138,6419951;261,8557636;279,8586543;110,717;255,3343962;106,7710552
Nov-2011;143,3285772;226,6466566;232,7907923;268,0939227;139,9892319;265,552242;285,5226885;112,357;259,8351608;106,2309383
Dez-2011;145,2728946;229,0677909;234,8967692;272,1823204;141,4041899;265,923995;286,4155239;116,509;260,617832;107,1373805
Jan-2012;146,327029;231,6530063;236,9763109;293,7430939;142,7286023;270,8530209;291,0883356;120,043;263,9879751;111,8067506
Fev-2012;146,3071594;233,8855142;238,7337088;305,0552486;143,9337246;274,8157541;297,4145841;125,623;266,8152105;116,3449251
Mar-2012;145,4684336;235,7651649;240,6633824;304,3508287;145,2754905;277,9044431;303,104502;130,73;269,8679171;119,9902881
Abr-2012;146,7866319;238,5515872;242,3478033;296,8093923;146,4682201;282,6606538;316,5019144;132,605;274,5573209;119,0906613
Mai-2012;148,3698282;240,8286841;244,1229602;271,2707182;147,6920032;284,6347908;322,7243077;137,146;278,5867336;111,6295514
Jun-2012;148,341005;242,3190485;245,6818912;273,660221;148,7715306;286,8804213;321,1118586;142,497;282,1856122;116,0450495
Jul-2012;150,3619056;244,7370194;247,3412636;282,1546961;149,9375329;291,6676601;330,3602307;151,195;285,5367798;117,5069431
Ago-2012;150,3620273;247,2626307;249,0393994;281,7265193;151,1754128;293,5092337;336,3348979;150,551;287,5084548;119,8292754
Set-2012;150,7595973;249,9438069;250,3771947;289,5718232;152,1269652;298,365973;341,1616138;153,2;289,1908889;122,7334685
