Petrobras PN;;;;;;;;;;;Economatica
;;;;;;;;;;;
;;;;;;;;;;;
Data;"Fechamento
ajust p/ prov
moeda orig em 100
IPCA+7%";"Fechamento
ajust p/ prov
moeda orig em 100
RfOffshoreReal";"Fechamento
ajust p/ prov
moeda orig em 100
S&PREAL";"Fechamento
ajust p/ prov
moeda orig em 100
CDI Acumulado";"Fechamento
ajust p/ prov
moeda orig em 100
IDIV";"Fechamento
ajust p/ prov
moeda orig em 100
IDA DI";"Fechamento
ajust p/ prov
moeda orig em 100
IMA-B 5";"Fechamento
ajust p/ prov
moeda orig em 100
IMA-B 5+";"Fechamento
ajust p/ prov
moeda orig em 100
IFIX";"Fechamento
ajust p/ prov
moeda orig em 100
IRF-M";"Fechamento
ajust p/ prov
moeda orig em 100
SMLL"
Out-2011;224,2666997;104,212204;100,9886653;230,8090304;272,1;138,6419951;261,8557636;319,0174451;110,717;255,3343962;239,6030428
Nov-2011;226,6466566;111,3964539;107,761473;232,7907923;277,2;139,9892319;265,552242;327,2405226;112,357;259,8351608;229,7563424
Dez-2011;229,0677909;116,9540402;112,5759416;234,8967692;292,6;141,4041899;265,923995;328,7389982;116,509;260,617832;231,687068
Jan-2012;231,6530063;109,217748;108,9207477;236,9763109;308,1;142,7286023;270,8530209;333,4884886;120,043;263,9879751;250,8012511
Fev-2012;233,8855142;107,3254135;111,3931183;238,7337088;331,7;143,9337246;274,8157541;342,7259561;125,623;266,8152105;274,356103
Mar-2012;235,7651649;113,7588199;122,4718666;240,6633824;338,8;145,2754905;277,9044431;351,4349865;130,73;269,8679171;279,5690621
Abr-2012;238,5515872;119,1806733;126,2033725;242,3478033;343,5;146,4682201;282,6606538;374,3690493;132,605;274,5573209;278,6036993
Mai-2012;240,8286841;128,7761045;126,4569766;244,1229602;316,6;147,6920032;284,6347908;384,469;137,146;278,5867336;247,7120902
Jun-2012;242,3190485;128,687422;131,3939676;245,6818912;331,3;148,7715306;286,8804213;377,8733163;142,497;282,1856122;249,8358883
Jul-2012;244,7370194;132,2862192;134,9317761;247,3412636;335,6;149,9375329;291,6676601;393,0116839;151,195;285,5367798;254,8557748
Ago-2012;247,2626307;131,4667564;136,7460006;249,0393994;320,2;151,1754128;293,5092337;403,9240839;150,551;287,5084548;275,1283933
Set-2012;249,9438069;131,3873213;139,6064303;250,3771947;322,3;152,1269652;298,365973;409,0145568;153,2;289,1908889;283,2374406
Out-2012;252,9079258;131,3728374;136,8908759;251,8976982;325,1;153,2097703;303,7653135;430,5786385;150;293,95312;281,4997876
Nov-2012;255,7265756;136,6629864;142,4236004;253,2692626;330,3;154,1793256;306,8328808;431,3263754;150,6;295,0936478;279,7621346
Dez-2012;258,9954589;132,1950416;139,0812409;254,6223221;355,5;155,1538576;311,0885154;441,2039402;157,3;297,8743061;298,1040275
Jan-2013;262,6998117;127,8251463;142,1484549;256,1160257;348,9;156,2069946;311,8098597;444,6419966;161,3;297,9078336;299,0693903
Fev-2013;265,5562852;127,74671;142,7882492;257,3494193;346,1;157,0623434;310,2381388;439,6737805;159,7;298,022934;299,648608
Mar-2013;268,2409219;130,3588867;150,8024497;258,733211;342,6;158,0449979;312,2794085;424,3247833;157,9;298,4436746;287,6781094
Abr-2013;271,3140963;130,8310385;152,6073369;260,2877899;342,4;159,1506447;315,153085;432,8351626;154,9;302,4836672;287,0988918
Mai-2013;273,8576844;136,5519948;165,9082879;261,8101055;334;160,2155147;311,404802;405,6976424;154,9;299,8568345;281,4997876
Jun-2013;276,048047;139,6918411;169,835759;263,359874;309,7;161,2420484;309,4325487;389,6835115;143,7;296,9296019;253,3111944
Jul-2013;277,7667122;144,78967;184,2455116;265,226553;316,7;162,4535531;312,1333462;395,5606099;142,7;300,8937154;254,4696297
Ago-2013;280,0828441;148,7461807;184,8846925;267,0719686;320,8;163,7078606;310,7594768;380,2051974;137,5;297,6151994;249,4497432
Set-2013;282,6523066;141,3789884;178,9497831;268,9391905;340,4;164,9705759;314,5219289;379,4995371;140;302,2097529;262,5786771
Out-2013;286,0242385;140,8029617;184,6333743;271,0997644;360,5;166,4485546;316,0501777;384,0721832;142,3;304,4401725;259,6825887
Nov-2013;289,0394775;148,2501894;200,3516203;273,0259822;347,9;167,7811517;316,0320884;360,828822;141,1;303,1133615;257,1726455
Dez-2013;293,1904689;148,5469478;206,6337362;275,1566223;340,5;169,2157423;319,7294579;365,8981218;137,4;305,648391;252,7319767
Jan-2014;296,5494837;156,2252331;206,4013303;277,4673182;315,8;170,76736;317,203143;351,9181707;128,2;305,1051172;231,3009229
Fev-2014;300,2033672;150,8086554;207,0571473;279,6389793;308,8;172,2098699;326,2966093;371,5958431;133;311,7559994;228,9840522
Mar-2014;304,5146881;146,0421715;202,2021632;281,7640919;330,8;173,6694279;329,2328357;373,6443091;133,6;313,7084358;238,8307526
Abr-2014;308,2054822;145,4853196;201,0285312;284,0617505;338,1;175,2458065;333,5665616;385,5060087;135;317,721061;236,5138819
Mai-2014;311,3738819;147,3986463;205,5316065;286,4998544;328,4;176,9248861;338,463135;409,3573473;136,9;323,5545423;239,0238252
Jun-2014;314,2182003;144,9123705;206,0342763;288,8417228;343,4;178,5269394;342,2178064;406,7294995;138,7;326,5288588;245,5882921
Jul-2014;316,1112959;148,8075413;208,9068682;291,5580689;363,8;180,3735494;345,1487147;412,0581781;140,9;330,2343694;237,2861721
Ago-2014;318,6933819;148,6728452;214,1155224;294,0640937;392,3;182,1108287;349,8177398;440,5350481;141,3;335,4889208;255,2419199
Set-2014;322,4086948;161,7054578;230,6909789;296,7123875;341,5;183,9540294;349,8293665;416,6108263;142,1;333,0112023;231,3009229
Out-2014;325,7682953;162,9727281;235,3884722;299,515722;322,3;185,8899564;353,1081232;427,9832976;140,2;336,8001438;227,6325443
Nov-2014;329,104281;171,8221284;252,5989722;302,0252315;313,2;187,5974649;356,8044451;439,6627258;136,1;340,701612;226,474109
Dez-2014;333,4570713;178,3860939;260,9832013;304,9121102;279,1;189,5627745;356,9506575;426,6515208;133,6;340,4980994;209,8698691
Jan-2015;339,500733;182,4651972;253,4628088;307,7457991;247,9;191,4600755;364,281713;442,4864686;137,2;346,5785399;184,5773642
Fev-2015;345,3074039;195,4973956;289,0589541;310,2647749;273,1;193,1573532;368,7295816;443,2442378;136,9;347,5833783;195,0032822
Mar-2015;351,9381299;218,714439;316,5762429;313,4795025;261,8;195,2705418;372,5253705;438,7206254;134,7;347,467351;196,7409352
Abr-2015;356,3452416;203,4378303;297,9357201;316,4521498;292,8;197,2288904;374,2379039;454,3117798;139,7;351,2630972;202,7261845
Mai-2015;360,9150199;215,0788098;319,6867579;319,565548;272,4;199,3482594;380,3429776;468,5986595;141,7;356,9879524;197,8993706
Jun-2015;365,8230359;207,6634575;305,4687623;322,9715721;265,6;201,666274;383,564252;465,1789171;146;358,1370059;195,5824999
Jul-2015;370,2717792;229,1269221;340,7670448;326,773968;256,4;204,2769147;390,3951394;456,8077389;147;362,5518534;188,2457428
